"x","y","z","y1","y2"
-3.41059422197966,-0.98390465590338,1.92118756698639,137914721.574979,-313.457275390625
-1.86585606748745,0.822859778208677,-4.09484727274871,-4405196.90360489,-168.912216186523
1.61135250521087,-0.947216180250676,-4.62114713379129,16825807.3585017,-290.047637939453
-3.16567842506073,-0.428411256198014,1.50821233926881,85587262.6003373,-298.608428955078
-3.44111364586452,-1.22574138606626,1.59239853028285,128468036.278617,-313.166320800781
-3.41059422197966,-0.98390465590338,1.92118756698639,137914721.574979,-313.457275390625
-3.16995897539371,-0.428093911657069,1.92118756698639,109223039.942772,-303.779968261719
-3.06087277425233,-0.608859020673253,1.62650117190179,101055914.314322,-302.663482666016
-3.07463497807078,-0.448256147793926,1.63232095254878,93608130.5004637,-302.624664306641
-3.05843757260495,-0.612232984162111,1.6471916998964,102496253.531356,-302.896179199219
-3.17956296757341,-0.622795468351468,1.9266452596739,120164654.072918,-308.851287841797
-3.05694479333221,-0.401250711867079,1.5998439093139,89690356.2676392,-301.757629394531
-1.00762932562775,3.02495891889769,-1.06066091713979,-3022428.1666247,-215.136901855469
-3.27885341179426,-0.738700819920938,1.92664878165054,125729795.814697,-310.249481201172
-2.54351852685616,-1.01027487186938,-4.19041945293565,1262357.08991715,-221.180770874023
1.27043436244117,-0.254619813285776,-4.62114713379129,11573849.8812473,-287.968688964844
1.30820681282461,-0.296425655182664,-4.13490814940464,9783996.15482578,-287.145141601562
-1.82476445340588,3.18329890875736,-1.05062143512864,2466306.12296495,-228.618988037109
-3.14041295607313,-0.645341589892922,1.77619103228124,111814375.575031,-306.207305908203
0.991985764335356,0.201264141655392,-4.15115850079874,6121687.03818116,-236.557434082031
-3.16557614810159,-0.428466956094437,1.50944943428234,85655947.9101776,-298.63134765625
-3.03716073896495,-0.41727493214681,1.98570850311442,113662269.722082,-306.516479492188
0.978608468746038,0.110564746631523,-3.99362708541245,6600525.28206149,-241.119857788086
-3.05643983619004,-0.445480766610782,2.01451983379408,117022379.846527,-307.318267822266
-3.04469490975756,-0.428175529041735,2.00673598875117,115604694.140749,-306.958160400391
