"x1","x2"
6849336.13547637,-301.367094676375
7061191.18517603,-301.616600378306
7232402.43376915,-303.909770428422
32307.3683845829,-295.836872174886
2648293.70429055,-298.920186675247
4206845.29896286,-300.083867507981
