"idx1","idx2","comb","HV"
"13","8","poly_sbx",16392830.8156834
"5","9","poly_sbx",16392765.5427788
"11","14","gauss_sbx",16392738.027509
"10","2","poly_uni",16392732.8054668
"14","7","gauss_sbx",16392686.2603164
"3","12","gauss_sbx",16392684.6539272
"23","5","gauss_sbx",16392673.0808253
"28","7","gauss_sbx",16392656.1143734
"15","3","gauss_sbx",16392653.8894824
"5","5","gauss_sbx",16392612.9136009
"12","4","poly_uni",16392590.8509236
"15","10","poly_sbx",16392582.9630056
"28","3","gauss_sbx",16392562.8861108
"35","16","gauss_sbx",16392559.7896734
"13","1","poly_uni",16392556.658296
"10","5","poly_sbx",16392541.6560791
"36","15","gauss_sbx",16392517.9669979
"26","2","gauss_uni",16392515.6719632
"17","11","gauss_sbx",16392484.0498817
"8","11","gauss_sbx",16392483.6350734
"13","3","gauss_sbx",16392359.0497775
"6","7","gauss_sbx",16392356.9344774
"23","15","gauss_sbx",16392339.9476542
"35","11","gauss_sbx",16392312.856328
"36","3","gauss_sbx",16392298.5449218
"39","11","gauss_sbx",16392297.4102602
"2","7","poly_sbx",16392288.2074727
"30","10","gauss_sbx",16392285.6234344
"3","7","poly_sbx",16392273.1912605
"12","0","gauss_cross",16392263.5913776
"24","3","gauss_sbx",16392249.1478542
"8","1","poly_sbx",16392247.0256265
"11","3","poly_uni",16392244.3272161
"37","12","gauss_sbx",16392231.435737
"33","15","gauss_sbx",16392223.3281045
"6","11","poly_sbx",16392220.0350841
"15","16","poly_sbx",16392172.7955876
"27","12","gauss_sbx",16392160.3306494
"15","1","gauss_uni",16392131.7159765
"20","4","gauss_sbx",16392128.7754558
"28","6","gauss_sbx",16392101.2841352
"11","2","gauss_sbx",16392099.5734371
"12","1","poly_sbx",16392093.0272752
"15","12","poly_sbx",16392085.9423464
"7","7","poly_sbx",16392039.0411818
"30","9","gauss_sbx",16392036.4164653
"26","10","gauss_sbx",16392025.1470501
"19","14","gauss_sbx",16392005.5615662
"13","5","poly_sbx",16392003.166275
"40","8","gauss_sbx",16391968.2738265
"10","12","poly_sbx",16391965.4433399
"26","1","gauss_sbx",16391942.4811186
"27","3","gauss_uni",16391938.4840657
"34","15","gauss_sbx",16391907.7982751
"36","11","gauss_sbx",16391896.9469406
"28","10","gauss_sbx",16391896.0165063
"23","0","gauss_cross",16391896.009585
"32","4","gauss_sbx",16391866.7817288
"20","1","gauss_sbx",16391861.3447375
"15","7","gauss_sbx",16391855.0084716
"4","0","poly_inter",16391853.0620187
"6","0","gauss_cross",16391846.5437337
"11","16","poly_sbx",16391809.7825964
"14","3","gauss_uni",16391789.054724
"27","4","gauss_sbx",16391763.2831129
"15","6","poly_sbx",16391726.7633639
"35","12","gauss_sbx",16391713.8100584
"21","0","gauss_cross",16391710.2723574
"32","9","gauss_sbx",16391691.0686452
"38","2","gauss_sbx",16391681.7457255
"8","5","poly_sbx",16391679.45653
"33","11","gauss_sbx",16391669.8705521
"39","2","gauss_uni",16391664.3939521
"27","3","gauss_sbx",16391645.960232
"35","4","gauss_sbx",16391633.7471935
"27","14","gauss_sbx",16391625.2092366
"33","4","gauss_sbx",16391622.3049762
"36","7","gauss_sbx",16391594.5750382
"13","9","gauss_sbx",16391582.0357899
"20","14","gauss_sbx",16391580.8586577
"23","7","gauss_sbx",16391571.4854179
"36","3","gauss_uni",16391570.2183009
"24","8","gauss_sbx",16391566.4758444
"15","11","poly_sbx",16391558.8771222
"16","2","poly_uni",16391543.8253304
"14","6","gauss_sbx",16391535.3281332
"24","15","gauss_sbx",16391534.9415874
"15","13","poly_sbx",16391532.5691236
"30","14","gauss_sbx",16391531.7332471
"34","8","gauss_sbx",16391524.2893927
"19","10","gauss_sbx",16391487.2550041
"24","7","gauss_sbx",16391482.6020903
"3","2","poly_sbx",16391458.3636961
"28","1","gauss_sbx",16391451.2942134
"39","1","gauss_sbx",16391446.1490216
"31","11","gauss_sbx",16391441.7714482
"37","7","gauss_sbx",16391433.835316
"25","12","gauss_sbx",16391431.2086102
"40","10","gauss_sbx",16391430.7718455
"40","16","gauss_sbx",16391423.1151982
"30","11","gauss_sbx",16391422.9197072
"4","11","poly_sbx",16391413.1753346
"12","1","gauss_sbx",16391383.7742557
"12","11","poly_sbx",16391374.3721333
"21","16","gauss_sbx",16391371.4925584
"3","10","gauss_sbx",16391368.0641189
"27","8","gauss_sbx",16391359.7445441
"4","3","poly_sbx",16391352.2967666
"6","9","poly_sbx",16391346.4346015
"18","9","gauss_sbx",16391343.9444261
"5","6","poly_sbx",16391326.1219887
"3","6","poly_sbx",16391312.7739231
"16","0","poly_inter",16391312.2850687
"20","4","gauss_uni",16391300.0504882
"30","4","gauss_sbx",16391276.0768564
"1","7","poly_sbx",16391261.402957
"4","12","poly_sbx",16391231.8661078
"40","7","gauss_sbx",16391224.5462149
"23","2","gauss_sbx",16391206.63034
"26","4","gauss_sbx",16391204.0586773
"18","0","gauss_cross",16391201.735723
"19","6","gauss_sbx",16391198.1041946
"16","2","poly_sbx",16391197.848877
"31","9","gauss_sbx",16391195.6361197
"24","12","gauss_sbx",16391190.425244
"20","8","gauss_sbx",16391190.2752397
"11","10","poly_sbx",16391184.6366663
"30","3","gauss_sbx",16391167.6706741
"14","3","poly_sbx",16391162.9717275
"10","0","poly_cross",16391160.5844175
"30","5","gauss_sbx",16391160.4974683
"35","2","gauss_uni",16391149.5523489
"11","1","poly_uni",16391143.120855
"12","0","poly_inter",16391141.7831143
"4","9","poly_sbx",16391122.2203699
"36","1","gauss_sbx",16391110.7230544
"19","2","gauss_uni",16391107.3492318
"0","10","inv_sbx",16391102.6141417
"20","2","gauss_uni",16391088.4897007
"8","14","poly_sbx",16391087.9957055
"11","15","gauss_sbx",16391081.9091509
"39","3","gauss_uni",16391081.863745
"12","8","poly_sbx",16391003.9679377
"34","9","gauss_sbx",16390991.5412964
"20","6","gauss_sbx",16390990.6473325
"36","9","gauss_sbx",16390971.7700621
"15","4","gauss_uni",16390954.6963906
"8","0","gauss_cross",16390951.1496388
"35","13","gauss_sbx",16390948.9118437
"36","6","gauss_sbx",16390937.5081301
"34","3","gauss_sbx",16390931.6526904
"17","13","gauss_sbx",16390917.8333879
"27","15","gauss_sbx",16390901.1465779
"34","0","gauss_cross",16390891.3255474
"35","3","gauss_uni",16390885.8647393
"23","0","gauss_inter",16390885.6231598
"33","16","gauss_sbx",16390873.3001073
"3","13","poly_sbx",16390863.0770203
"23","2","gauss_uni",16390859.7256625
"39","14","gauss_sbx",16390857.1771662
"16","2","gauss_uni",16390856.3411868
"22","1","gauss_uni",16390847.4678047
"27","11","gauss_sbx",16390846.4269348
"4","12","gauss_sbx",16390828.3231755
"35","8","gauss_sbx",16390826.4475641
"16","1","poly_sbx",16390818.1841336
"39","3","gauss_sbx",16390811.1996235
"7","6","poly_sbx",16390810.3590738
"29","0","gauss_cross",16390808.3934147
"12","12","poly_sbx",16390804.1788536
"8","9","gauss_sbx",16390788.0036437
"25","8","gauss_sbx",16390777.2228802
"38","1","gauss_uni",16390762.4462999
"34","3","gauss_uni",16390762.024463
"6","12","poly_sbx",16390761.1614506
"5","0","poly_cross",16390750.1161092
"27","10","gauss_sbx",16390679.9090968
"21","1","gauss_sbx",16390679.5472212
"31","8","gauss_sbx",16390654.7777934
"26","0","gauss_inter",16390646.9414803
"6","0","gauss_inter",16390646.0332892
"8","3","poly_sbx",16390636.8773938
"21","15","gauss_sbx",16390626.8696876
"8","6","poly_sbx",16390617.5977843
"18","2","gauss_uni",16390610.515507
"11","4","poly_uni",16390603.6718173
"31","13","gauss_sbx",16390578.8574291
"39","9","gauss_sbx",16390575.5805759
"31","2","gauss_sbx",16390562.9318935
"7","15","gauss_sbx",16390540.1016413
"38","3","gauss_uni",16390532.5547276
"25","11","gauss_sbx",16390531.2092735
"28","0","gauss_inter",16390512.2742381
"26","6","gauss_sbx",16390511.772928
"32","3","gauss_uni",16390482.3344947
"37","10","gauss_sbx",16390471.4544433
"16","4","gauss_uni",16390470.9742562
"30","7","gauss_sbx",16390462.6165824
"23","6","gauss_sbx",16390453.8580798
"16","0","gauss_cross",16390436.8365328
"22","11","gauss_sbx",16390434.2469074
"15","16","gauss_sbx",16390403.3671143
"2","16","gauss_sbx",16390400.823133
"25","7","gauss_sbx",16390398.7099558
"8","2","poly_sbx",16390379.9147227
"22","3","gauss_uni",16390356.7455689
"27","2","gauss_uni",16390352.3540571
"4","9","gauss_sbx",16390317.33432
"32","12","gauss_sbx",16390315.6379599
"14","11","poly_sbx",16390311.245039
"16","14","gauss_sbx",16390305.770899
"31","14","gauss_sbx",16390293.3979186
"12","0","poly_cross",16390288.3390854
"16","4","poly_uni",16390285.3810672
"39","6","gauss_sbx",16390273.4093156
"36","13","gauss_sbx",16390273.3589009
"8","0","gauss_inter",16390262.8378064
"24","0","gauss_inter",16390256.8231588
"14","13","poly_sbx",16390247.700752
"24","6","gauss_sbx",16390239.8455107
"24","3","gauss_uni",16390223.584466
"1","12","gauss_sbx",16390201.9448543
"16","16","poly_sbx",16390186.7906387
"38","7","gauss_sbx",16390184.5922027
"8","14","gauss_sbx",16390178.8974818
"7","14","poly_sbx",16390166.2568389
"18","16","gauss_sbx",16390156.812096
"14","12","poly_sbx",16390154.7175008
"36","12","gauss_sbx",16390153.0208896
"20","0","gauss_cross",16390139.0248841
"7","7","gauss_sbx",16390123.1001605
"18","4","gauss_uni",16390115.0339392
"19","2","gauss_sbx",16390112.4763129
"30","0","gauss_cross",16390089.2168373
