"x","y","z","output"
-4.5,-4.5,-4.5,-202.094218894028
-1.5,-4.5,-4.5,-217.46414882035
1.5,-4.5,-4.5,-39.6658431499447
4.5,-4.5,-4.5,-249.782724066711
-4.5,-1.5,-4.5,-275.279494278372
-1.5,-1.5,-4.5,-221.551886975437
1.5,-1.5,-4.5,-258.106390759423
4.5,-1.5,-4.5,-213.422600564109
-4.5,1.5,-4.5,-260.21147835107
-1.5,1.5,-4.5,-270.180217839273
1.5,1.5,-4.5,-240.122951218406
4.5,1.5,-4.5,-292.444536821278
-4.5,4.5,-4.5,-231.985051264739
-1.5,4.5,-4.5,-241.935217666927
1.5,4.5,-4.5,-273.452805698804
4.5,4.5,-4.5,-247.179697495681
-4.5,-4.5,-1.5,-208.888941137453
-1.5,-4.5,-1.5,-276.972059118505
1.5,-4.5,-1.5,-205.835513750044
4.5,-4.5,-1.5,-219.646391912832
-4.5,-1.5,-1.5,-269.834508153994
-1.5,-1.5,-1.5,-211.212602900905
1.5,-1.5,-1.5,-246.752094964705
4.5,-1.5,-1.5,-169.543379135722
-4.5,1.5,-1.5,-148.332018901746
-1.5,1.5,-1.5,-132.392011954524
1.5,1.5,-1.5,-168.318838032882
4.5,1.5,-1.5,-281.707027322843
-4.5,4.5,-1.5,-196.51172286643
-1.5,4.5,-1.5,-253.494905045312
1.5,4.5,-1.5,-240.425095993897
4.5,4.5,-1.5,-172.159058306467
-4.5,-4.5,1.5,-132.962347206509
-1.5,-4.5,1.5,-175.742384663522
1.5,-4.5,1.5,-108.062842331118
4.5,-4.5,1.5,-211.473623556114
-4.5,-1.5,1.5,-256.046896503361
-1.5,-1.5,1.5,-162.375760856076
1.5,-1.5,1.5,-245.105994504043
4.5,-1.5,1.5,-173.36759545858
-4.5,1.5,1.5,-255.229370901478
-1.5,1.5,1.5,-236.21119420601
1.5,1.5,1.5,-242.355360035756
4.5,1.5,1.5,-254.785592830287
-4.5,4.5,1.5,-295.584629722586
-1.5,4.5,1.5,-216.941848537564
1.5,4.5,1.5,-264.194635919578
4.5,4.5,1.5,-281.179589954755
-4.5,-4.5,4.5,-226.574726152783
-1.5,-4.5,4.5,-296.376656365957
1.5,-4.5,4.5,-211.140619919711
4.5,-4.5,4.5,-290.135461120981
-4.5,-1.5,4.5,-252.453421797985
-1.5,-1.5,4.5,-202.265441109348
1.5,-1.5,4.5,-286.090584352269
4.5,-1.5,4.5,-191.250417302893
-4.5,1.5,4.5,-165.623242827641
-1.5,1.5,4.5,-276.567577111409
1.5,1.5,4.5,-238.289248609227
4.5,1.5,4.5,-214.895650024144
-4.5,4.5,4.5,-227.364867570749
-1.5,4.5,4.5,-207.606415513165
1.5,4.5,4.5,-151.782649107488
4.5,4.5,4.5,-126.430566561843
-5,-5,-5,-233.428157458408
-3.33333333333333,-5,-5,-200.598988200645
-1.66666666666667,-5,-5,-215.241747472479
