"x1","x2"
151.500758739281,41.0037963501665
166.799338901658,40.2054022976738
160.217987413021,40.5166054401853
191.557333747483,40.2013440157828
107.581814776356,41.8949364683061
105.720269264905,43.871973695977
101.39896448926,50.8330221837273
102.481272294963,46.4608143054838
125.602360371069,41.2700200923685
104.631686690184,45.7463125368768
115.723316962941,41.4452903674807
136.461166887187,41.0629419937535
129.758214671681,41.1263759034986
150.369348678083,41.0260499107558
779.010428111747,39.8636052369948
781.474483090038,39.7492386832448
879.404338396532,39.6744493216104
881.868393374823,39.6007965327579
984.586532180357,39.3753981876238
987.050587158648,39.3642623425467
1106.47116883293,39.2888929616827
1252.9347317445,39.2421228352026
1405.27838582042,39.2315344259843
1626.72784116405,39.2252644071289
2241.96934244138,39.2235121551428
